국내순위,세계순위,채널이름,구독자수 (만명),총조회수 (억회),동영상수,구독자수,총조회수,채널설명
1,10,BANGTANTV,8330.0,271.8,2984,83300000,27176655244,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
2,34,SMTOWN,3360.0,332.9,4677,33600000,33285907184,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
3,37,JYP Entertainment,3180.0,268.0,2707,31800000,26799490243,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,"
4,519,Netflix Korea 넷플릭스 코리아,309.0,19.8,6189,3090000,1980682939,"넷피디가 하드 탈탈 털어 공개하는 넷플릭스의 모든 것  넷플릭스(Netflix) 소개: 넷플릭스는 시리즈, 영화, 게임, 라이브 프로그램 등 다양한 장르의 콘텐츠를 여러 언어로 제공하는 세계적인 엔터테인먼트 서비스입니다. 회원들은 콘텐츠를 언제 어디서나 무제한으로 즐길 수 있으며, 언제든지 멤버십 변경이 가능합니다."
5,545,혜안,298.0,23.5,1934,2980000,2348612545,여러분의 유튜버 혜안입니다
6,552,King Gnu official YouTube channel,292.0,27.3,119,2920000,2732253359,
7,631,Kep1er,252.0,11.4,1590,2520000,1141820463,This is the Official YouTube channel for Kep1er
8,659,잠뜰 TV,238.0,43.5,4492,2380000,4352185153,"마인크래프트를 비롯한 다양한 게임들을 재밌는 콘텐츠로 만들고 있습니다😄  [비즈니스 문의] : contact@asmbl.kr [기타 문의] : skhh1221@gmail.com  구독하기 버튼과 알림 버튼을 누르시면 매일 재밌는 영상을 *제일 먼저* 만나보실 수 있습니다! 우리 꿈뜰이분들, 시청자분들 항상 감사드려요  #마인크래프트 #게임"
9,675,DAY6,229.0,22.5,979,2290000,2246697274,DAY6 Official YouTube
10,693,악동 김블루,222.0,53.1,4497,2220000,5306045503,"안녕하세요 김블루입니다. 제 영상을 볼 때만큼은 우리 쁠몬들이 항상 즐거웠으면 좋겠습니다!  Thanks for watching my video, and welcome to Kimblue's channel. All the videos on my channel are game videos played by me. I usually play GAME. Thanks for reading my introduction, and I hope you enjoy my other videos. It would make me really glad if you subscribe. I’ll be back with more witty and fun videos. Don’t forget to click ""Like"" and ""Subs"
