순위,채널명,카테고리,구독자수,총조회수,동영상수,국가
1,BLACKPINK,음악,95800000,37800000000,620,KR
2,HYBE LABELS,음악,80400000,44459636885,3053,,,
3,BANGTANTV,음악,78900000,23500000000,2450,,,
4,SMTOWN,음악,32800000,29800000000,4300,,,
5,1MILLION Dance Studio,엔터테인먼트,26400000,8100000000,6100,,,
6,JYP Entertainment,음악,29500000,22100000000,1850,,,
7,Mnet K-POP,음악,21300000,16500000000,22000,,,
8,보람튜브 브이로그,키즈,14200000,5200000000,430,,,
9,KBS WORLD TV,엔터테인먼트,19800000,15400000000,68000,,,
10,토이푸딩,키즈,27100000,13100000000,1200,,,
11,계양일기 (Gyeyang),코미디,11500000,3100000000,850,,,
12,공대생 변승주,엔터테인먼트,2100000,980000000,1400,,,
13,김프로 KIMPRO,숏폼,62000000,34000000000,2100,,,
14,차린건 쥐뿔도 없지만,엔터테인먼트,3450000,420000000,85,,,
15,숏박스,코미디,3100000,1200000000,130,,,
16,침착맨,라이프스타일,2550000,1850000000,7200,,,
17,워크맨 Workman,엔터테인먼트,3800000,920000000,340,,,
18,빠더너스 BDNS,코미디,1450000,410000000,610,,,
19,잇섭 ITSub,IT/테크,2500000,1100000000,1800,,,
20,슈카월드,시사/교양,3300000,890000000,1650,,,
21,피식대학 Psick Univ,코미디,3250000,1150000000,920,,,
22,EBS EBS Cines,교육,1850000,620000000,4800,,,
23,보겸 TV,엔터테인먼트,4100000,2800000000,3100,,,
24,백종원의 요리비책,음식/요리,6150000,1120000000,950,,,
25,올리버쌤,교육,2250000,810000000,1100,,,
26,보람튜브 장난감친구들,키즈,15300000,6100000000,580,,,
27,서은이야기,키즈,9800000,4100000000,1600,,,
28,딩고 뮤직 Dingo Music,음악,5100000,2100000000,2800,,,
29,ODG,엔터테인먼트,3350000,950000000,420,,,
30,캐리와 장난감 친구들,키즈,2100000,1800000000,3500,,,
31,라이너의 서재,영화/취미,1100000,350000000,2100,,,
32,사내뷰공업,코미디,1650000,580000000,390,,,
33,너덜트,코미디,1950000,670000000,110,,,
34,오킹TV,엔터테인먼트,1800000,920000000,4500,,,
35,승우아빠,음식/요리,1420000,510000000,1250,,,
36,성시경 SUNG SI KYUNG,음식/요리,1850000,480000000,620,,,
37,감스트 GAMST,게임,2600000,2100000000,8900,,,
38,우왁굳의 게임방송,게임,1700000,1450000000,9400,,,
39,대도서관TV,게임,1480000,1280000000,7800,,,
40,조재원,코미디,1680000,610000000,820,,,
41,런닝맨 - 스브스공식,엔터테인먼트,3100000,1950000000,5400,,,
42,TVCHOSUN JOY,엔터테인먼트,2150000,1400000000,12000,,,
43,MBCkpop,음악,10200000,8900000000,38000,,,
44,ALL THE K-POP,음악,7800000,4200000000,24000,,,
45,YTN news,뉴스,3900000,6800000000,410000,,,
46,SBS 뉴스,뉴스,3400000,5400000000,320000,,,
47,JTBC News,뉴스,3650000,5900000000,350000,,,
48,KBS News,뉴스,2850000,4100000000,290000,,,
49,스튜디오 춤 STUDIO CHOOM,음악,5200000,3100000000,820,,,
50,픽식스 PIXIX,숏폼,8900000,4800000000,410,,,
