도감번호,이름,타입,체력,공격력,방어력,포획률
3,이상해꽃,풀,80,82,83,45
6,리자몽,불꽃,78,84,78,45
9,거북왕,물,79,83,100,45
12,버터플,벌레,60,45,50,45
18,피죤투,노말,83,80,75,45
20,레트라,노말,55,81,60,127
25,피카츄,전기,35,55,40,190
38,나인테일,불꽃,73,76,75,75
39,푸린,노말,115,45,20,170
52,나옹,노말,40,45,35,255
59,윈디,불꽃,90,110,80,75
68,괴력몬,격투,90,130,80,45
76,딱구리,바위,80,120,130,45
83,파오리,노말,52,90,55,45
95,롱스톤,바위,35,45,160,45
101,붐볼,전기,60,50,70,60
106,시라소몬,격투,50,120,53,45
112,코뿌리,바위,105,130,120,60
113,럭키,노말,250,5,5,30
123,스라크,벌레,70,110,80,45
127,쁘사이저,벌레,65,125,100,45
129,잉어킹,물,20,10,55,255
130,갸라도스,물,95,125,79,45
131,라프라스,물,130,85,80,45
143,잠만보,노말,160,110,65,25
144,프리져,얼음,90,85,100,3
145,썬더,전기,90,90,85,3
149,망나뇽,드래곤,91,134,95,45
150,뮤츠,에스퍼,106,110,90,3
151,뮤,에스퍼,100,100,100,45
